dx_cd|ICD9|ICD10
E805|HIT BY ROLLING STOCK|CRIGLER-NAJJAR SYNDROME
E806|OTHER SPECIFIED RAILWAY ACCIDENT|OTHER DISORDERS OF BILIRUBIN METABOLISM
E807|RAILWAY ACCIDENT OF UNSPECIFIED NATURE|DISORDER OF BILIRUBIN METABOLISM, UNSPECIFIED
E830|ACCIDENT TO WATERCRAFT CAUSING SUBMERSION|DISORDERS OF COPPER METABOLISM
E8300|ACCIDENT TO WATERCRAFT CAUSING SUBMERSION INJURING OCCUPANT OF SMALL BOAT, UNPOWERED|DISORDER OF COPPER METABOLISM, UNSPECIFIED
E8301|ACCIDENT TO WATERCRAFT CAUSING SUBMERSION INJURING OCCUPANT OF SMALL BOAT, POWERED|WILSON'S DISEASE
E8309|ACCIDENT TO WATERCRAFT CAUSING SUBMERSION INJURING UNSPECIFIED PERSON|OTHER DISORDERS OF COPPER METABOLISM
E831|ACCIDENT TO WATERCRAFT CAUSING OTHER INJURY|DISORDERS OF IRON METABOLISM
E8310|ACCIDENT TO WATERCRAFT CAUSING OTHER INJURY TO OCCUPANT OF SMALL BOAT, UNPOWERED|DISORDER OF IRON METABOLISM, UNSPECIFIED
E8311|ACCIDENT TO WATERCRAFT CAUSING OTHER INJURY TO OCCUPANT OF SMALL BOAT, POWERED|HEMOCHROMATOSIS
E8319|ACCIDENT TO WATERCRAFT CAUSING OTHER INJURY TO UNSPECIFIED PERSON|OTHER DISORDERS OF IRON METABOLISM
E832|OTHER ACCIDENTAL SUBMERSION OR DROWNING IN WATER TRANSPORT ACCIDENT|DISORDERS OF ZINC METABOLISM
E833|FALL ON STAIRS OR LADDERS IN WATER TRANSPORT|DISORDERS OF PHOSPHORUS METABOLISM AND PHOSPHATASES
E8330|FALL ON STAIRS OR LADDERS IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT, UNPOWERED|DISORDER OF PHOSPHORUS METABOLISM, UNSPECIFIED
E8331|FALL ON STAIRS OR LADDERS IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT, POWERED|FAMILIAL HYPOPHOSPHATEMIA
E8332|FALL ON STAIRS OR LADDERS IN WATER TRANSPORT INJURING OCCUPANT OF OTHER WATERCRAFT -- CREW|HEREDITARY VITAMIN D-DEPENDENT RICKETS (TYPE 1) (TYPE 2)
E8339|FALL ON STAIRS OR LADDERS IN WATER TRANSPORT INJURING UNSPECIFIED PERSON|OTHER DISORDERS OF PHOSPHORUS METABOLISM
E834|OTHER FALL FROM ONE LEVEL TO ANOTHER IN WATER TRANSPORT|DISORDERS OF MAGNESIUM METABOLISM
E8340|OTHER FALL FROM ONE LEVEL TO ANOTHER IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT, UNPOWERED|DISORDERS OF MAGNESIUM METABOLISM, UNSPECIFIED
E8341|OTHER FALL FROM ONE LEVEL TO ANOTHER IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT, POWERED|HYPERMAGNESEMIA
E8342|OTHER FALL FROM ONE LEVEL TO ANOTHER IN WATER TRANSPORT INJURING OCCUPANT OF OTHER WATERCRAFT -- CREW|HYPOMAGNESEMIA
E8349|OTHER FALL FROM ONE LEVEL TO ANOTHER IN WATER TRANSPORT INJURING UNSPECIFIED PERSON|OTHER DISORDERS OF MAGNESIUM METABOLISM
E835|OTHER AND UNSPECIFIED FALL IN WATER TRANSPORT|DISORDERS OF CALCIUM METABOLISM
E8350|OTHER AND UNSPECIFIED FALL IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT, UNPOWERED|UNSPECIFIED DISORDER OF CALCIUM METABOLISM
E8351|OTHER AND UNSPECIFIED FALL IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT, POWERED|HYPOCALCEMIA
E8352|OTHER AND UNSPECIFIED FALL IN WATER TRANSPORT INJURING OCCUPANT OF OTHER WATERCRAFT -- CREW|HYPERCALCEMIA
E8359|OTHER AND UNSPECIFIED FALL IN WATER TRANSPORT INJURING UNSPECIFIED PERSON|OTHER DISORDERS OF CALCIUM METABOLISM
E838|OTHER AND UNSPECIFIED WATER TRANSPORT ACCIDENT|OTHER DISORDERS OF MINERAL METABOLISM
E8381|OTHER AND UNSPECIFIED WATER TRANSPORT ACCIDENT INJURING OCCUPANT OF SMALL BOAT, POWERED|HUNGRY BONE SYNDROME
E8389|OTHER AND UNSPECIFIED WATER TRANSPORT ACCIDENT INJURING UNSPECIFIED PERSON|OTHER DISORDERS OF MINERAL METABOLISM
E840|ACCIDENT TO POWERED AIRCRAFT AT TAKEOFF OR LANDING|CYSTIC FIBROSIS WITH PULMONARY MANIFESTATIONS
E841|ACCIDENT TO POWERED AIRCRAFT, OTHER AND UNSPECIFIED|CYSTIC FIBROSIS WITH INTESTINAL MANIFESTATIONS
E8411|ACCIDENT TO POWERED AIRCRAFT, OTHER AND UNSPECIFIED, INJURING OCCUPANT OF MILITARY AIRCRAFT, ANY|MECONIUM ILEUS IN CYSTIC FIBROSIS
E8419|ACCIDENT TO POWERED AIRCRAFT, OTHER AND UNSPECIFIED, INJURING OTHER PERSON|CYSTIC FIBROSIS WITH OTHER INTESTINAL MANIFESTATIONS
E848|ACCIDENTS INVOLVING OTHER VEHICLES, NOT ELSEWHERE CLASSIFIABLE|CYSTIC FIBROSIS WITH OTHER MANIFESTATIONS
E849|PLACE OF OCCURRENCE|CYSTIC FIBROSIS, UNSPECIFIED
E850|ACCIDENTAL POISONING BY ANALGESICS, ANTIPYRETICS, AND ANTIRHEUMATICS|NON-NEUROPATHIC HEREDOFAMILIAL AMYLOIDOSIS
E851|ACCIDENTAL POISONING BY BARBITURATES|NEUROPATHIC HEREDOFAMILIAL AMYLOIDOSIS
E852|ACCIDENTAL POISONING BY OTHER SEDATIVES AND HYPNOTICS|HEREDOFAMILIAL AMYLOIDOSIS, UNSPECIFIED
E853|ACCIDENTAL POISONING BY TRANQUILIZERS|SECONDARY SYSTEMIC AMYLOIDOSIS
E854|ACCIDENTAL POISONING BY OTHER PSYCHOTROPIC AGENTS|ORGAN-LIMITED AMYLOIDOSIS
E858|ACCIDENTAL POISONING BY OTHER DRUGS|OTHER AMYLOIDOSIS
E8581|ACCIDENTAL POISONING BY PRIMARILY SYSTEMIC AGENTS|LIGHT CHAIN (AL) AMYLOIDOSIS
E8582|ACCIDENTAL POISONING BY AGENTS PRIMARILY AFFECTING BLOOD CONSTITUENTS|WILD-TYPE TRANSTHYRETIN-RELATED (ATTR) AMYLOIDOSIS
E8589|ACCIDENTAL POISONING BY UNSPECIFIED DRUG|OTHER AMYLOIDOSIS
E860|ACCIDENTAL POISONING BY ALCOHOL, NOT ELSEWHERE CLASSIFIED|DEHYDRATION
E861|ACCIDENTAL POISONING BY CLEANSING AND POLISHING AGENTS, DISINFECTANTS, PAINTS, AND VARNISHES|HYPOVOLEMIA
E869|ACCIDENTAL POISONING BY OTHER GASES AND VAPORS|VOLUME DEPLETION, UNSPECIFIED
E870|ACCIDENTAL CUT, PUNCTURE, PERFORATION, OR HEMORRHAGE DURING MEDICAL CARE|HYPEROSMOLALITY AND HYPERNATREMIA
E871|FOREIGN OBJECT LEFT IN BODY DURING PROCEDURE|HYPO-OSMOLALITY AND HYPONATREMIA
E872|FAILURE OF STERILE PRECAUTIONS DURING PROCEDURE|ACIDOSIS
E873|FAILURE IN DOSAGE|ALKALOSIS
E874|MECHANICAL FAILURE OF INSTRUMENT OR APPARATUS DURING PROCEDURE|MIXED DISORDER OF ACID-BASE BALANCE
E875|CONTAMINATED OR INFECTED BLOOD, OTHER FLUID, DRUG, OR BIOLOGICAL SUBSTANCE|HYPERKALEMIA
E876|OTHER AND UNSPECIFIED MISADVENTURES DURING MEDICAL CARE|HYPOKALEMIA
E878|SURGICAL OPERATION AND OTHER SURGICAL PROCEDURES AS THE CAUSE OF ABNORMAL REACTION OF PATIENT, OR OF LATER COMPLICATION, WITHOUT MENTION OF MISADVENTURE AT THE TIME OF OPERATION|OTHER DISORDERS OF ELECTROLYTE AND FLUID BALANCE, NOT ELSEWHERE CLASSIFIED
E880|ACCIDENTAL FALL ON OR FROM STAIRS OR STEPS|DISORDERS OF PLASMA-PROTEIN METABOLISM, NOT ELSEWHERE CLASSIFIED
E8801|ACCIDENTAL FALL ON OR FROM SIDEWALK CURB|ALPHA-1-ANTITRYPSIN DEFICIENCY
E8809|ACCIDENTAL FALL ON OR FROM OTHER STAIRS OR STEPS|OTHER DISORDERS OF PLASMA-PROTEIN METABOLISM, NOT ELSEWHERE CLASSIFIED
E881|ACCIDENTAL FALL ON OR FROM LADDERS OR SCAFFOLDING|LIPODYSTROPHY, NOT ELSEWHERE CLASSIFIED
E882|ACCIDENTAL FALL FROM OR OUT OF BUILDING OR OTHER STRUCTURE|LIPOMATOSIS, NOT ELSEWHERE CLASSIFIED
E883|ACCIDENTAL FALL INTO HOLE OR OTHER OPENING IN SURFACE|TUMOR LYSIS SYNDROME
E884|OTHER ACCIDENTAL FALLS FROM ONE LEVEL TO ANOTHER|MITOCHONDRIAL METABOLISM DISORDERS
E8840|ACCIDENTAL FALL FROM PLAYGROUND EQUIPMENT|MITOCHONDRIAL METABOLISM DISORDER, UNSPECIFIED
E8841|ACCIDENTAL FALL FROM CLIFF|MELAS SYNDROME
E8842|ACCIDENTAL FALL FROM CHAIR|MERRF SYNDROME
E8849|OTHER ACCIDENTAL FALL FROM ONE LEVEL TO ANOTHER|OTHER MITOCHONDRIAL METABOLISM DISORDERS
E888|OTHER AND UNSPECIFIED ACCIDENTAL FALL|OTHER SPECIFIED METABOLIC DISORDERS
E8881|FALL RESULTING IN STRIKING AGAINST OTHER OBJECT|METABOLIC SYNDROME
E8889|UNSPECIFIED FALL|OTHER SPECIFIED METABOLIC DISORDERS
E890|CONFLAGRATION IN PRIVATE DWELLING|POSTPROCEDURAL HYPOTHYROIDISM
E891|CONFLAGRATION IN OTHER AND UNSPECIFIED BUILDING OR STRUCTURE|POSTPROCEDURAL HYPOINSULINEMIA
E892|CONFLAGRATION NOT IN BUILDING OR STRUCTURE|POSTPROCEDURAL HYPOPARATHYROIDISM
E893|ACCIDENT CAUSED BY IGNITION OF CLOTHING|POSTPROCEDURAL HYPOPITUITARISM
E894|IGNITION OF HIGHLY INFLAMMABLE MATERIAL|POSTPROCEDURAL OVARIAN FAILURE
E895|ACCIDENT CAUSED BY CONTROLLED FIRE IN PRIVATE DWELLING|POSTPROCEDURAL TESTICULAR HYPOFUNCTION
E896|ACCIDENT CAUSED BY CONTROLLED FIRE IN OTHER AND UNSPECIFIED BUILDING OR STRUCTURE|POSTPROCEDURAL ADRENOCORTICAL (-MEDULLARY) HYPOFUNCTION
E898|ACCIDENT CAUSED BY OTHER SPECIFIED FIRE AND FLAMES|OTHER POSTPROCEDURAL ENDOCRINE AND METABOLIC COMPLICATIONS AND DISORDERS
E8981|ACCIDENT CAUSED BY OTHER BURNING MATERIALS|POSTPROCEDURAL HEMORRHAGE OF AN ENDOCRINE SYSTEM ORGAN OR STRUCTURE FOLLOWING A PROCEDURE
V01|CONTACT WITH OR EXPOSURE TO COMMUNICABLE DISEASES|PEDESTRIAN INJURED IN COLLISION WITH PEDAL CYCLE
V010|CONTACT WITH OR EXPOSURE TO CHOLERA|PEDESTRIAN INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V011|CONTACT WITH OR EXPOSURE TO TUBERCULOSIS|PEDESTRIAN INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT
V019|CONTACT WITH OR EXPOSURE TO UNSPECIFIED COMMUNICABLE DISEASE|PEDESTRIAN INJURED IN COLLISION WITH PEDAL CYCLE, UNSPECIFIED WHETHER TRAFFIC OR NONTRAFFIC ACCIDENT
V02|CARRIER OR SUSPECTED CARRIER OF INFECTIOUS DISEASES|PEDESTRIAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V020|CARRIER OR SUSPECTED CARRIER OF CHOLERA|PEDESTRIAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V021|CARRIER OR SUSPECTED CARRIER OF TYPHOID|PEDESTRIAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V029|CARRIER OR SUSPECTED CARRIER OF OTHER SPECIFIED INFECTIOUS ORGANISM|PEDESTRIAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE, UNSPECIFIED WHETHER TRAFFIC OR NONTRAFFIC ACCIDENT
V03|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST BACTERIAL DISEASES|PEDESTRIAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V030|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST CHOLERA ALONE|PEDESTRIAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V031|NEED FOR PROPHYLACTIC VACCINATION AND INNOCULATION AGAINST TYPHOID-PARATYPHOID ALONE [TAB]|PEDESTRIAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V039|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST UNSPECIFIED SINGLE BACTERIAL DISEASE|PEDESTRIAN INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN, UNSPECIFIED WHETHER TRAFFIC OR NONTRAFFIC ACCIDENT
V04|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST CERTAIN VIRAL DISEASES|PEDESTRIAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS
V040|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST POLIOMYELITIS|PEDESTRIAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V041|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST SMALLPOX|PEDESTRIAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V05|NEED FOR OTHER PROPHYLACTIC VACCINATION AND INOCULATION AGAINST SINGLE DISEASES|PEDESTRIAN INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
V050|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST ARTHROPOD-BORNE VIRAL ENCEPHALITIS|PEDESTRIAN INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V051|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST OTHER ARTHROPOD-BORNE VIRAL DISEASES|PEDESTRIAN INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V059|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST UNSPECIFIED SINGLE DISEASE|PEDESTRIAN INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE, UNSPECIFIED WHETHER TRAFFIC OR NONTRAFFIC ACCIDENT
V06|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST COMBINATIONS OF DISEASES|PEDESTRIAN INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE
V060|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST CHOLERA WITH TYPHOID-PARATYPHOID [CHOLERA + TAB]|PEDESTRIAN INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V061|NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST DIPHTHERIA-TETANUS-PERTUSSIS, COMBINED [DTP] [DTAP]|PEDESTRIAN INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT
V069|NEED FOR PROPHYLACTIC VACCINATION WITH UNSPECIFIED COMBINED VACCINE|PEDESTRIAN INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE, UNSPECIFIED WHETHER TRAFFIC OR NONTRAFFIC ACCIDENT
V09|INFECTION WITH DRUG-RESISTANT MICROORGANISMS|PEDESTRIAN INJURED IN OTHER AND UNSPECIFIED TRANSPORT ACCIDENTS
V090|INFECTION WITH MICROORGANISMS RESISTANT TO PENICILLINS|PEDESTRIAN INJURED IN NONTRAFFIC ACCIDENT INVOLVING OTHER AND UNSPECIFIED MOTOR VEHICLES
V091|INFECTION WITH MICROORGANISMS RESISTANT TO CEPHALOSPORINS AND OTHER B-LACTAM ANTIBIOTICS|PEDESTRIAN INJURED IN UNSPECIFIED NONTRAFFIC ACCIDENT
V092|INFECTION WITH MICROORGANISMS RESISTANT TO MACROLIDES|PEDESTRIAN INJURED IN TRAFFIC ACCIDENT INVOLVING OTHER AND UNSPECIFIED MOTOR VEHICLES
V093|INFECTION WITH MICROORGANISMS RESISTANT TO TETRACYCLINES|PEDESTRIAN INJURED IN UNSPECIFIED TRAFFIC ACCIDENT
V099|INFECTION WITH DRUG-RESISTANT MICROORGANISMS, UNSPECIFIED|PEDESTRIAN INJURED IN UNSPECIFIED TRANSPORT ACCIDENT
V10|PERSONAL HISTORY OF MALIGNANT NEOPLASM|PEDAL CYCLE RIDER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL
V100|PERSONAL HISTORY OF MALIGNANT NEOPLASM OF GASTROINTESTINAL TRACT|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V101|PERSONAL HISTORY OF MALIGNANT NEOPLASM OF TRACHEA, BRONCHUS, AND LUNG|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V102|PERSONAL HISTORY OF MALIGNANT NEOPLASM OF OTHER RESPIRATORY AND INTRATHORACIC ORGANS|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT
V103|PERSONAL HISTORY OF MALIGNANT NEOPLASM OF BREAST|PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL
V104|PERSONAL HISTORY OF MALIGNANT NEOPLASM OF GENITAL ORGANS|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN TRAFFIC ACCIDENT
V105|PERSONAL HISTORY OF MALIGNANT NEOPLASM OF URINARY ORGANS|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN TRAFFIC ACCIDENT
V109|OTHER AND UNSPECIFIED PERSONAL HISTORY OF MALIGNANT NEOPLASM|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN TRAFFIC ACCIDENT
V11|PERSONAL HISTORY OF MENTAL DISORDER|PEDAL CYCLE RIDER INJURED IN COLLISION WITH OTHER PEDAL CYCLE
V110|PERSONAL HISTORY OF SCHIZOPHRENIA|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V111|PERSONAL HISTORY OF AFFECTIVE DISORDERS|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V112|PERSONAL HISTORY OF NEUROSIS|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V113|PERSONAL HISTORY OF ALCOHOLISM|PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH OTHER PEDAL CYCLE
V114|PERSONAL HISTORY OF COMBAT AND OPERATIONAL STRESS REACTION|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER PEDAL CYCLE IN TRAFFIC ACCIDENT
V119|PERSONAL HISTORY OF UNSPECIFIED MENTAL DISORDER|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH OTHER PEDAL CYCLE IN TRAFFIC ACCIDENT
V12|PERSONAL HISTORY OF CERTAIN OTHER DISEASES|PEDAL CYCLE RIDER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V120|PERSONAL HISTORY OF INFECTIOUS AND PARASITIC DISEASE|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V121|PERSONAL HISTORY OF NUTRITIONAL DEFICIENCY|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V122|PERSONAL HISTORY OF ENDOCRINE, METABOLIC, AND IMMUNITY DISORDERS|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V123|PERSONAL HISTORY OF DISEASES OF BLOOD AND BLOOD-FORMING ORGANS|PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V124|PERSONAL HISTORY OF DISORDERS OF NERVOUS SYSTEM AND SENSE ORGANS|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V125|PERSONAL HISTORY OF DISEASES OF CIRCULATORY SYSTEM|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V13|PERSONAL HISTORY OF OTHER DISEASES|PEDAL CYCLE RIDER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V130|PERSONAL HISTORY OF DISORDERS OF THE URINARY SYSTEM|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V131|PERSONAL HISTORY OF TROPHOBLASTIC DISEASE|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V132|PERSONAL HISTORY OF OTHER GENITAL SYSTEM AND OBSTETRIC DISORDERS|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V133|PERSONAL HISTORY OF DISEASES OF SKIN AND SUBCUTANEOUS TISSUE|PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V134|PERSONAL HISTORY OF ARTHRITIS|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V135|PERSONAL HISTORY OF OTHER MUSCULOSKELETAL DISORDERS|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V139|PERSONAL HISTORY OF UNSPECIFIED DISEASE|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V14|PERSONAL HISTORY OF ALLERGY TO MEDICINAL AGENTS|PEDAL CYCLE RIDER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS
V140|PERSONAL HISTORY OF ALLERGY TO PENICILLIN|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V141|PERSONAL HISTORY OF ALLERGY TO OTHER ANTIBIOTIC AGENT|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V142|PERSONAL HISTORY OF ALLERGY TO SULFONAMIDES|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V143|PERSONAL HISTORY OF ALLERGY TO OTHER ANTI-INFECTIVE AGENT|PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS
V144|PERSONAL HISTORY OF ALLERGY TO ANESTHETIC AGENT|PEDAL CYCLE DRIVER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V145|PERSONAL HISTORY OF ALLERGY TO NARCOTIC AGENT|PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V149|PERSONAL HISTORY OF ALLERGY TO UNSPECIFIED MEDICINAL AGENT|UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V15|OTHER PERSONAL HISTORY PRESENTING HAZARDS TO HEALTH|PEDAL CYCLE RIDER INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
