"dx_cd|""diagnosis_desc""|""diag_vers_typ_id""",,,,
"E834|""OTHER FALL FROM ONE LEVEL TO ANOTHER IN WATER TRANSPORT""|1",,,,
"E834|""DISORDERS OF MAGNESIUM METABOLISM""|2",,,,
"E8340|""OTHER FALL FROM ONE LEVEL TO ANOTHER IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT"," UNPOWERED""|1",,,
"E8340|""DISORDERS OF MAGNESIUM METABOLISM"," UNSPECIFIED""|2",,,
"E8341|""OTHER FALL FROM ONE LEVEL TO ANOTHER IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT"," POWERED""|1",,,
"E8341|""HYPERMAGNESEMIA""|2",,,,
"E8342|""OTHER FALL FROM ONE LEVEL TO ANOTHER IN WATER TRANSPORT INJURING OCCUPANT OF OTHER WATERCRAFT -- CREW""|1",,,,
"E8342|""HYPOMAGNESEMIA""|2",,,,
"E8349|""OTHER FALL FROM ONE LEVEL TO ANOTHER IN WATER TRANSPORT INJURING UNSPECIFIED PERSON""|1",,,,
"E8349|""OTHER DISORDERS OF MAGNESIUM METABOLISM""|2",,,,
"E835|""OTHER AND UNSPECIFIED FALL IN WATER TRANSPORT""|1",,,,
"E835|""DISORDERS OF CALCIUM METABOLISM""|2",,,,
"E8350|""OTHER AND UNSPECIFIED FALL IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT"," UNPOWERED""|1",,,
"E8350|""UNSPECIFIED DISORDER OF CALCIUM METABOLISM""|2",,,,
"E8351|""OTHER AND UNSPECIFIED FALL IN WATER TRANSPORT INJURING OCCUPANT OF SMALL BOAT"," POWERED""|1",,,
"E8351|""HYPOCALCEMIA""|2",,,,
"E8352|""OTHER AND UNSPECIFIED FALL IN WATER TRANSPORT INJURING OCCUPANT OF OTHER WATERCRAFT -- CREW""|1",,,,
"E8352|""HYPERCALCEMIA""|2",,,,
"E8359|""OTHER AND UNSPECIFIED FALL IN WATER TRANSPORT INJURING UNSPECIFIED PERSON""|1",,,,
"E8359|""OTHER DISORDERS OF CALCIUM METABOLISM""|2",,,,
"E838|""OTHER AND UNSPECIFIED WATER TRANSPORT ACCIDENT""|1",,,,
"E838|""OTHER DISORDERS OF MINERAL METABOLISM""|2",,,,
"E8381|""OTHER AND UNSPECIFIED WATER TRANSPORT ACCIDENT INJURING OCCUPANT OF SMALL BOAT"," POWERED""|1",,,
"E8381|""HUNGRY BONE SYNDROME""|2",,,,
"E8389|""OTHER AND UNSPECIFIED WATER TRANSPORT ACCIDENT INJURING UNSPECIFIED PERSON""|1",,,,
"E8389|""OTHER DISORDERS OF MINERAL METABOLISM""|2",,,,
"E840|""ACCIDENT TO POWERED AIRCRAFT AT TAKEOFF OR LANDING""|1",,,,
"E840|""CYSTIC FIBROSIS WITH PULMONARY MANIFESTATIONS""|2",,,,
"E841|""ACCIDENT TO POWERED AIRCRAFT"," OTHER AND UNSPECIFIED""|1",,,
"E841|""CYSTIC FIBROSIS WITH INTESTINAL MANIFESTATIONS""|2",,,,
"E8411|""ACCIDENT TO POWERED AIRCRAFT", OTHER AND UNSPECIFIED, INJURING OCCUPANT OF MILITARY AIRCRAFT," ANY""|1",
"E8411|""MECONIUM ILEUS IN CYSTIC FIBROSIS""|2",,,,
"E8419|""ACCIDENT TO POWERED AIRCRAFT", OTHER AND UNSPECIFIED," INJURING OTHER PERSON""|1",,
"E8419|""CYSTIC FIBROSIS WITH OTHER INTESTINAL MANIFESTATIONS""|2",,,,
"E848|""ACCIDENTS INVOLVING OTHER VEHICLES"," NOT ELSEWHERE CLASSIFIABLE""|1",,,
"E848|""CYSTIC FIBROSIS WITH OTHER MANIFESTATIONS""|2",,,,
"E849|""PLACE OF OCCURRENCE""|1",,,,
"E849|""CYSTIC FIBROSIS"," UNSPECIFIED""|2",,,
"E850|""ACCIDENTAL POISONING BY ANALGESICS", ANTIPYRETICS," AND ANTIRHEUMATICS""|1",,
"E850|""NON-NEUROPATHIC HEREDOFAMILIAL AMYLOIDOSIS""|2",,,,
"E851|""ACCIDENTAL POISONING BY BARBITURATES""|1",,,,
"E851|""NEUROPATHIC HEREDOFAMILIAL AMYLOIDOSIS""|2",,,,
"E852|""ACCIDENTAL POISONING BY OTHER SEDATIVES AND HYPNOTICS""|1",,,,
"E852|""HEREDOFAMILIAL AMYLOIDOSIS"," UNSPECIFIED""|2",,,
"E853|""ACCIDENTAL POISONING BY TRANQUILIZERS""|1",,,,
"E853|""SECONDARY SYSTEMIC AMYLOIDOSIS""|2",,,,
"E854|""ACCIDENTAL POISONING BY OTHER PSYCHOTROPIC AGENTS""|1",,,,
"E854|""ORGAN-LIMITED AMYLOIDOSIS""|2",,,,
"E858|""ACCIDENTAL POISONING BY OTHER DRUGS""|1",,,,
"E858|""OTHER AMYLOIDOSIS""|2",,,,
"E8581|""ACCIDENTAL POISONING BY PRIMARILY SYSTEMIC AGENTS""|1",,,,
"E8581|""LIGHT CHAIN (AL) AMYLOIDOSIS""|2",,,,
"E8582|""ACCIDENTAL POISONING BY AGENTS PRIMARILY AFFECTING BLOOD CONSTITUENTS""|1",,,,
"E8582|""WILD-TYPE TRANSTHYRETIN-RELATED (ATTR) AMYLOIDOSIS""|2",,,,
"E8589|""ACCIDENTAL POISONING BY UNSPECIFIED DRUG""|1",,,,
"E8589|""OTHER AMYLOIDOSIS""|2",,,,
"E860|""ACCIDENTAL POISONING BY ALCOHOL"," NOT ELSEWHERE CLASSIFIED""|1",,,
"E860|""DEHYDRATION""|2",,,,
"E861|""ACCIDENTAL POISONING BY CLEANSING AND POLISHING AGENTS", DISINFECTANTS, PAINTS," AND VARNISHES""|1",
"E861|""HYPOVOLEMIA""|2",,,,
"E869|""ACCIDENTAL POISONING BY OTHER GASES AND VAPORS""|1",,,,
"E869|""VOLUME DEPLETION"," UNSPECIFIED""|2",,,
"E870|""ACCIDENTAL CUT", PUNCTURE, PERFORATION," OR HEMORRHAGE DURING MEDICAL CARE""|1",
"E870|""HYPEROSMOLALITY AND HYPERNATREMIA""|2",,,,
"E871|""FOREIGN OBJECT LEFT IN BODY DURING PROCEDURE""|1",,,,
"E871|""HYPO-OSMOLALITY AND HYPONATREMIA""|2",,,,
"E872|""FAILURE OF STERILE PRECAUTIONS DURING PROCEDURE""|1",,,,
"E872|""ACIDOSIS""|2",,,,
"E873|""FAILURE IN DOSAGE""|1",,,,
"E873|""ALKALOSIS""|2",,,,
"E874|""MECHANICAL FAILURE OF INSTRUMENT OR APPARATUS DURING PROCEDURE""|1",,,,
"E874|""MIXED DISORDER OF ACID-BASE BALANCE""|2",,,,
"E875|""CONTAMINATED OR INFECTED BLOOD", OTHER FLUID, DRUG," OR BIOLOGICAL SUBSTANCE""|1",
"E875|""HYPERKALEMIA""|2",,,,
"E876|""OTHER AND UNSPECIFIED MISADVENTURES DURING MEDICAL CARE""|1",,,,
"E876|""HYPOKALEMIA""|2",,,,
"E878|""SURGICAL OPERATION AND OTHER SURGICAL PROCEDURES AS THE CAUSE OF ABNORMAL REACTION OF PATIENT", OR OF LATER COMPLICATION," WITHOUT MENTION OF MISADVENTURE AT THE TIME OF OPERATION""|1",,
"E878|""OTHER DISORDERS OF ELECTROLYTE AND FLUID BALANCE"," NOT ELSEWHERE CLASSIFIED""|2",,,
"E880|""ACCIDENTAL FALL ON OR FROM STAIRS OR STEPS""|1",,,,
"E880|""DISORDERS OF PLASMA-PROTEIN METABOLISM"," NOT ELSEWHERE CLASSIFIED""|2",,,
"E8801|""ACCIDENTAL FALL ON OR FROM SIDEWALK CURB""|1",,,,
"E8801|""ALPHA-1-ANTITRYPSIN DEFICIENCY""|2",,,,
"E8809|""ACCIDENTAL FALL ON OR FROM OTHER STAIRS OR STEPS""|1",,,,
"E8809|""OTHER DISORDERS OF PLASMA-PROTEIN METABOLISM"," NOT ELSEWHERE CLASSIFIED""|2",,,
"E881|""ACCIDENTAL FALL ON OR FROM LADDERS OR SCAFFOLDING""|1",,,,
"E881|""LIPODYSTROPHY"," NOT ELSEWHERE CLASSIFIED""|2",,,
"E882|""ACCIDENTAL FALL FROM OR OUT OF BUILDING OR OTHER STRUCTURE""|1",,,,
"E882|""LIPOMATOSIS"," NOT ELSEWHERE CLASSIFIED""|2",,,
"E883|""ACCIDENTAL FALL INTO HOLE OR OTHER OPENING IN SURFACE""|1",,,,
"E883|""TUMOR LYSIS SYNDROME""|2",,,,
"E884|""OTHER ACCIDENTAL FALLS FROM ONE LEVEL TO ANOTHER""|1",,,,
"E884|""MITOCHONDRIAL METABOLISM DISORDERS""|2",,,,
"E8840|""ACCIDENTAL FALL FROM PLAYGROUND EQUIPMENT""|1",,,,
"E8840|""MITOCHONDRIAL METABOLISM DISORDER"," UNSPECIFIED""|2",,,
"E8841|""ACCIDENTAL FALL FROM CLIFF""|1",,,,
"E8841|""MELAS SYNDROME""|2",,,,
"E8842|""ACCIDENTAL FALL FROM CHAIR""|1",,,,
"E8842|""MERRF SYNDROME""|2",,,,
"E8849|""OTHER ACCIDENTAL FALL FROM ONE LEVEL TO ANOTHER""|1",,,,
"E8849|""OTHER MITOCHONDRIAL METABOLISM DISORDERS""|2",,,,
"E888|""OTHER AND UNSPECIFIED ACCIDENTAL FALL""|1",,,,
"E888|""OTHER SPECIFIED METABOLIC DISORDERS""|2",,,,
"E8881|""FALL RESULTING IN STRIKING AGAINST OTHER OBJECT""|1",,,,
"E8881|""METABOLIC SYNDROME""|2",,,,
"E8889|""UNSPECIFIED FALL""|1",,,,
"E8889|""OTHER SPECIFIED METABOLIC DISORDERS""|2",,,,
"E890|""CONFLAGRATION IN PRIVATE DWELLING""|1",,,,
"E890|""POSTPROCEDURAL HYPOTHYROIDISM""|2",,,,
"E891|""CONFLAGRATION IN OTHER AND UNSPECIFIED BUILDING OR STRUCTURE""|1",,,,
"E891|""POSTPROCEDURAL HYPOINSULINEMIA""|2",,,,
"E892|""CONFLAGRATION NOT IN BUILDING OR STRUCTURE""|1",,,,
"E892|""POSTPROCEDURAL HYPOPARATHYROIDISM""|2",,,,
"E893|""ACCIDENT CAUSED BY IGNITION OF CLOTHING""|1",,,,
"E893|""POSTPROCEDURAL HYPOPITUITARISM""|2",,,,
"E894|""IGNITION OF HIGHLY INFLAMMABLE MATERIAL""|1",,,,
"E894|""POSTPROCEDURAL OVARIAN FAILURE""|2",,,,
"E895|""ACCIDENT CAUSED BY CONTROLLED FIRE IN PRIVATE DWELLING""|1",,,,
"E895|""POSTPROCEDURAL TESTICULAR HYPOFUNCTION""|2",,,,
"E896|""ACCIDENT CAUSED BY CONTROLLED FIRE IN OTHER AND UNSPECIFIED BUILDING OR STRUCTURE""|1",,,,
"E896|""POSTPROCEDURAL ADRENOCORTICAL (-MEDULLARY) HYPOFUNCTION""|2",,,,
"E898|""ACCIDENT CAUSED BY OTHER SPECIFIED FIRE AND FLAMES""|1",,,,
"E898|""OTHER POSTPROCEDURAL ENDOCRINE AND METABOLIC COMPLICATIONS AND DISORDERS""|2",,,,
"E8981|""ACCIDENT CAUSED BY OTHER BURNING MATERIALS""|1",,,,
"E8981|""POSTPROCEDURAL HEMORRHAGE OF AN ENDOCRINE SYSTEM ORGAN OR STRUCTURE FOLLOWING A PROCEDURE""|2",,,,
"V01|""CONTACT WITH OR EXPOSURE TO COMMUNICABLE DISEASES""|1",,,,
"V01|""PEDESTRIAN INJURED IN COLLISION WITH PEDAL CYCLE""|2",,,,
"V010|""CONTACT WITH OR EXPOSURE TO CHOLERA""|1",,,,
"V010|""PEDESTRIAN INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V011|""CONTACT WITH OR EXPOSURE TO TUBERCULOSIS""|1",,,,
"V011|""PEDESTRIAN INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT""|2",,,,
"V019|""CONTACT WITH OR EXPOSURE TO UNSPECIFIED COMMUNICABLE DISEASE""|1",,,,
"V019|""PEDESTRIAN INJURED IN COLLISION WITH PEDAL CYCLE"," UNSPECIFIED WHETHER TRAFFIC OR NONTRAFFIC ACCIDENT""|2",,,
"V02|""CARRIER OR SUSPECTED CARRIER OF INFECTIOUS DISEASES""|1",,,,
"V02|""PEDESTRIAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE""|2",,,,
"V020|""CARRIER OR SUSPECTED CARRIER OF CHOLERA""|1",,,,
"V020|""PEDESTRIAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V021|""CARRIER OR SUSPECTED CARRIER OF TYPHOID""|1",,,,
"V021|""PEDESTRIAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V029|""CARRIER OR SUSPECTED CARRIER OF OTHER SPECIFIED INFECTIOUS ORGANISM""|1",,,,
"V029|""PEDESTRIAN INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE"," UNSPECIFIED WHETHER TRAFFIC OR NONTRAFFIC ACCIDENT""|2",,,
"V03|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST BACTERIAL DISEASES""|1",,,,
"V03|""PEDESTRIAN INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN""|2",,,
"V030|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST CHOLERA ALONE""|1",,,,
"V030|""PEDESTRIAN INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT""|2",,,
"V031|""NEED FOR PROPHYLACTIC VACCINATION AND INNOCULATION AGAINST TYPHOID-PARATYPHOID ALONE [TAB]""|1",,,,
"V031|""PEDESTRIAN INJURED IN COLLISION WITH CAR"," PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT""|2",,,
"V039|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST UNSPECIFIED SINGLE BACTERIAL DISEASE""|1",,,,
"V039|""PEDESTRIAN INJURED IN COLLISION WITH CAR", PICK-UP TRUCK OR VAN," UNSPECIFIED WHETHER TRAFFIC OR NONTRAFFIC ACCIDENT""|2",,
"V04|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST CERTAIN VIRAL DISEASES""|1",,,,
"V04|""PEDESTRIAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS""|2",,,,
"V040|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST POLIOMYELITIS""|1",,,,
"V040|""PEDESTRIAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT""|2",,,,
"V041|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST SMALLPOX""|1",,,,
"V041|""PEDESTRIAN INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT""|2",,,,
"V05|""NEED FOR OTHER PROPHYLACTIC VACCINATION AND INOCULATION AGAINST SINGLE DISEASES""|1",,,,
"V05|""PEDESTRIAN INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE""|2",,,,
"V050|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST ARTHROPOD-BORNE VIRAL ENCEPHALITIS""|1",,,,
"V050|""PEDESTRIAN INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V051|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST OTHER ARTHROPOD-BORNE VIRAL DISEASES""|1",,,,
"V051|""PEDESTRIAN INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V059|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST UNSPECIFIED SINGLE DISEASE""|1",,,,
"V059|""PEDESTRIAN INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE"," UNSPECIFIED WHETHER TRAFFIC OR NONTRAFFIC ACCIDENT""|2",,,
"V06|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST COMBINATIONS OF DISEASES""|1",,,,
"V06|""PEDESTRIAN INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE""|2",,,,
"V060|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST CHOLERA WITH TYPHOID-PARATYPHOID [CHOLERA + TAB]""|1",,,,
"V060|""PEDESTRIAN INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V061|""NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST DIPHTHERIA-TETANUS-PERTUSSIS"," COMBINED [DTP] [DTAP]""|1",,,
"V061|""PEDESTRIAN INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT""|2",,,,
"V069|""NEED FOR PROPHYLACTIC VACCINATION WITH UNSPECIFIED COMBINED VACCINE""|1",,,,
"V069|""PEDESTRIAN INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE"," UNSPECIFIED WHETHER TRAFFIC OR NONTRAFFIC ACCIDENT""|2",,,
"V09|""INFECTION WITH DRUG-RESISTANT MICROORGANISMS""|1",,,,
"V09|""PEDESTRIAN INJURED IN OTHER AND UNSPECIFIED TRANSPORT ACCIDENTS""|2",,,,
"V090|""INFECTION WITH MICROORGANISMS RESISTANT TO PENICILLINS""|1",,,,
"V090|""PEDESTRIAN INJURED IN NONTRAFFIC ACCIDENT INVOLVING OTHER AND UNSPECIFIED MOTOR VEHICLES""|2",,,,
"V091|""INFECTION WITH MICROORGANISMS RESISTANT TO CEPHALOSPORINS AND OTHER B-LACTAM ANTIBIOTICS""|1",,,,
"V091|""PEDESTRIAN INJURED IN UNSPECIFIED NONTRAFFIC ACCIDENT""|2",,,,
"V092|""INFECTION WITH MICROORGANISMS RESISTANT TO MACROLIDES""|1",,,,
"V092|""PEDESTRIAN INJURED IN TRAFFIC ACCIDENT INVOLVING OTHER AND UNSPECIFIED MOTOR VEHICLES""|2",,,,
"V093|""INFECTION WITH MICROORGANISMS RESISTANT TO TETRACYCLINES""|1",,,,
"V093|""PEDESTRIAN INJURED IN UNSPECIFIED TRAFFIC ACCIDENT""|2",,,,
"V099|""INFECTION WITH DRUG-RESISTANT MICROORGANISMS"," UNSPECIFIED""|1",,,
"V099|""PEDESTRIAN INJURED IN UNSPECIFIED TRANSPORT ACCIDENT""|2",,,,
"V10|""PERSONAL HISTORY OF MALIGNANT NEOPLASM""|1",,,,
"V10|""PEDAL CYCLE RIDER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL""|2",,,,
"V100|""PERSONAL HISTORY OF MALIGNANT NEOPLASM OF GASTROINTESTINAL TRACT""|1",,,,
"V100|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT""|2",,,,
"V101|""PERSONAL HISTORY OF MALIGNANT NEOPLASM OF TRACHEA", BRONCHUS," AND LUNG""|1",,
"V101|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT""|2",,,,
"V102|""PERSONAL HISTORY OF MALIGNANT NEOPLASM OF OTHER RESPIRATORY AND INTRATHORACIC ORGANS""|1",,,,
"V102|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT""|2",,,,
"V103|""PERSONAL HISTORY OF MALIGNANT NEOPLASM OF BREAST""|1",,,,
"V103|""PERSON BOARDING OR ALIGHTING A PEDAL CYCLE INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL""|2",,,,
"V104|""PERSONAL HISTORY OF MALIGNANT NEOPLASM OF GENITAL ORGANS""|1",,,,
"V104|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN TRAFFIC ACCIDENT""|2",,,,
"V105|""PERSONAL HISTORY OF MALIGNANT NEOPLASM OF URINARY ORGANS""|1",,,,
"V105|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN TRAFFIC ACCIDENT""|2",,,,
"V109|""OTHER AND UNSPECIFIED PERSONAL HISTORY OF MALIGNANT NEOPLASM""|1",,,,
"V109|""UNSPECIFIED PEDAL CYCLIST INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN TRAFFIC ACCIDENT""|2",,,,
"V11|""PERSONAL HISTORY OF MENTAL DISORDER""|1",,,,
"V11|""PEDAL CYCLE RIDER INJURED IN COLLISION WITH OTHER PEDAL CYCLE""|2",,,,
"V110|""PERSONAL HISTORY OF SCHIZOPHRENIA""|1",,,,
"V110|""PEDAL CYCLE DRIVER INJURED IN COLLISION WITH OTHER PEDAL CYCLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V111|""PERSONAL HISTORY OF AFFECTIVE DISORDERS""|1",,,,
"V111|""PEDAL CYCLE PASSENGER INJURED IN COLLISION WITH OTHER PEDAL CYCLE IN NONTRAFFIC ACCIDENT""|2",,,,
"V112|""PERSONAL HISTORY OF NEUROSIS""|1",,,,
