|Count|ICD10|ICD10_desc
58|1953039|Z20828|CONTACT WITH AND (SUSPECTED) EXPOSURE TO OTHER VIRAL COMMUNICABLE DISEASES
59|1941073|J45909|UNSPECIFIED ASTHMA, UNCOMPLICATED
60|1931082|R509|FEVER, UNSPECIFIED
61|1917766|F17210|NICOTINE DEPENDENCE, CIGARETTES, UNCOMPLICATED
62|1907519|C61|MALIGNANT NEOPLASM OF PROSTATE
63|1874041|E669|OBESITY, UNSPECIFIED
64|1793291|M25512|PAIN IN LEFT SHOULDER
65|1792451|J301|ALLERGIC RHINITIS DUE TO POLLEN
66|1780094|M1711|UNILATERAL PRIMARY OSTEOARTHRITIS, RIGHT KNEE
67|1759472|R197|DIARRHEA, UNSPECIFIED
68|1758285|E7800|PURE HYPERCHOLESTEROLEMIA, UNSPECIFIED
69|1735620|J441|CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH (ACUTE) EXACERBATION
70|1706565|M5416|RADICULOPATHY, LUMBAR REGION
71|1678418|R112|NAUSEA WITH VOMITING, UNSPECIFIED
72|1624638|D62|ACUTE POSTHEMORRHAGIC ANEMIA
73|1606376|R262|DIFFICULTY IN WALKING, NOT ELSEWHERE CLASSIFIED
74|1603977|U071|COVID-19
75|1602146|E6601|MORBID (SEVERE) OBESITY DUE TO EXCESS CALORIES
76|1587446|R531|WEAKNESS
77|1567586|N200|CALCULUS OF KIDNEY
78|1559640|M1712|UNILATERAL PRIMARY OSTEOARTHRITIS, LEFT KNEE
79|1532957|Z113|ENCOUNTER FOR SCREENING FOR INFECTIONS WITH A PREDOMINANTLY SEXUAL MODE OF TRANSMISSION
80|1500617|R6889|OTHER GENERAL SYMPTOMS AND SIGNS
81|1457766|F840|AUTISTIC DISORDER
82|1447453|Z7901|LONG TERM (CURRENT) USE OF ANTICOAGULANTS
83|1435868|R300|DYSURIA
84|1434310|N183|CHRONIC KIDNEY DISEASE, STAGE 3 (MODERATE)
85|1422927|R1013|EPIGASTRIC PAIN
86|1417441|F331|MAJOR DEPRESSIVE DISORDER, RECURRENT, MODERATE
87|1408023|Z370|SINGLE LIVE BIRTH
88|1387567|I509|HEART FAILURE, UNSPECIFIED
89|1359914|R002|PALPITATIONS
90|1317138|J209|ACUTE BRONCHITIS, UNSPECIFIED
91|1305574|K529|NONINFECTIVE GASTROENTERITIS AND COLITIS, UNSPECIFIED
92|1297400|M25551|PAIN IN RIGHT HIP
93|1238318|E291|TESTICULAR HYPOFUNCTION
94|1220793|I129|HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 1 THROUGH STAGE 4 CHRONIC KIDNEY DISEASE, OR UNSPECIFIED CHRONIC KIDNEY DISEASE
95|1209626|L570|ACTINIC KERATOSIS
96|1208612|G8929|OTHER CHRONIC PAIN
97|1205889|I110|HYPERTENSIVE HEART DISEASE WITH HEART FAILURE
98|1200967|K5900|CONSTIPATION, UNSPECIFIED
99|1168001|E1122|TYPE 2 DIABETES MELLITUS WITH DIABETIC CHRONIC KIDNEY DISEASE
100|1148707|I130|HYPERTENSIVE HEART AND CHRONIC KIDNEY DISEASE WITH HEART FAILURE AND STAGE 1 THROUGH STAGE 4 CHRONIC KIDNEY DISEASE, OR UNSPECIFIED CHRONIC KIDNEY DISEASE
101|1105841|D485|NEOPLASM OF UNCERTAIN BEHAVIOR OF SKIN
102|1102130|F4323|ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD
103|1098353|Z7982|LONG TERM (CURRENT) USE OF ASPIRIN
104|1087335|M1990|UNSPECIFIED OSTEOARTHRITIS, UNSPECIFIED SITE
105|1072426|M5412|RADICULOPATHY, CERVICAL REGION
106|1071085|R1084|GENERALIZED ABDOMINAL PAIN
107|1040037|M810|AGE-RELATED OSTEOPOROSIS WITHOUT CURRENT PATHOLOGICAL FRACTURE
108|1025498|J0190|ACUTE SINUSITIS, UNSPECIFIED
109|1021965|R102|PELVIC AND PERINEAL PAIN
110|1020141|M25552|PAIN IN LEFT HIP
111|1019279|Z124|ENCOUNTER FOR SCREENING FOR MALIGNANT NEOPLASM OF CERVIX
112|1007651|F1020|ALCOHOL DEPENDENCE, UNCOMPLICATED
113|1006763|M546|PAIN IN THORACIC SPINE
114|1003931|I214|NON-ST ELEVATION (NSTEMI) MYOCARDIAL INFARCTION
115|1002551|M549|DORSALGIA, UNSPECIFIED
116|998568|N401|BENIGN PROSTATIC HYPERPLASIA WITH LOWER URINARY TRACT SYMPTOMS
117|983834|I639|CEREBRAL INFARCTION, UNSPECIFIED
118|973496|J90|PLEURAL EFFUSION, NOT ELSEWHERE CLASSIFIED
119|973088|F0390|UNSPECIFIED DEMENTIA WITHOUT BEHAVIORAL DISTURBANCE
120|929291|Z510|ENCOUNTER FOR ANTINEOPLASTIC RADIATION THERAPY
121|928625|J020|STREPTOCOCCAL PHARYNGITIS
122|926118|M170|BILATERAL PRIMARY OSTEOARTHRITIS OF KNEE
123|923674|L700|ACNE VULGARIS
124|918177|D631|ANEMIA IN CHRONIC KIDNEY DISEASE
125|917806|Z5181|ENCOUNTER FOR THERAPEUTIC DRUG LEVEL MONITORING
126|914522|R2689|OTHER ABNORMALITIES OF GAIT AND MOBILITY
127|909189|R918|OTHER NONSPECIFIC ABNORMAL FINDING OF LUNG FIELD
128|892745|F332|MAJOR DEPRESSIVE DISORDER, RECURRENT SEVERE WITHOUT PSYCHOTIC FEATURES
129|887831|M5136|OTHER INTERVERTEBRAL DISC DEGENERATION, LUMBAR REGION
130|875893|R1031|RIGHT LOWER QUADRANT PAIN
131|875681|R1310|DYSPHAGIA, UNSPECIFIED
132|870117|N760|ACUTE VAGINITIS
133|861729|M9902|SEGMENTAL AND SOMATIC DYSFUNCTION OF THORACIC REGION
134|861331|C9000|MULTIPLE MYELOMA NOT HAVING ACHIEVED REMISSION
135|841310|R1011|RIGHT UPPER QUADRANT PAIN
136|836511|G9341|METABOLIC ENCEPHALOPATHY
137|835641|B351|TINEA UNGUIUM
138|827774|H5213|MYOPIA, BILATERAL
139|824393|R0600|DYSPNEA, UNSPECIFIED
140|823762|R7989|OTHER SPECIFIED ABNORMAL FINDINGS OF BLOOD CHEMISTRY
141|823460|Z471|AFTERCARE FOLLOWING JOINT REPLACEMENT SURGERY
142|817797|I5032|CHRONIC DIASTOLIC (CONGESTIVE) HEART FAILURE
143|816284|J309|ALLERGIC RHINITIS, UNSPECIFIED
144|809296|M722|PLANTAR FASCIAL FIBROMATOSIS
145|809180|B349|VIRAL INFECTION, UNSPECIFIED
146|795940|R110|NAUSEA
147|786371|D696|THROMBOCYTOPENIA, UNSPECIFIED
148|783979|G43909|MIGRAINE, UNSPECIFIED, NOT INTRACTABLE, WITHOUT STATUS MIGRAINOSUS
149|776687|M47816|SPONDYLOSIS WITHOUT MYELOPATHY OR RADICULOPATHY, LUMBAR REGION
150|774191|G20|PARKINSON'S DISEASE
151|765991|Z01812|ENCOUNTER FOR PREPROCEDURAL LABORATORY EXAMINATION
152|764882|R4182|ALTERED MENTAL STATUS, UNSPECIFIED
153|761868|J9621|ACUTE AND CHRONIC RESPIRATORY FAILURE WITH HYPOXIA
154|753074|N2581|SECONDARY HYPERPARATHYROIDISM OF RENAL ORIGIN
155|749591|M2550|PAIN IN UNSPECIFIED JOINT
156|747144|R21|RASH AND OTHER NONSPECIFIC SKIN ERUPTION
157|744217|L821|OTHER SEBORRHEIC KERATOSIS
158|740126|N184|CHRONIC KIDNEY DISEASE, STAGE 4 (SEVERE)
159|739436|Z3800|SINGLE LIVEBORN INFANT, DELIVERED VAGINALLY
160|739012|J3089|OTHER ALLERGIC RHINITIS
161|737682|R000|TACHYCARDIA, UNSPECIFIED
162|735663|G35|MULTIPLE SCLEROSIS
163|732879|Z992|DEPENDENCE ON RENAL DIALYSIS
164|731549|N400|BENIGN PROSTATIC HYPERPLASIA WITHOUT LOWER URINARY TRACT SYMPTOMS
165|731111|I5033|ACUTE ON CHRONIC DIASTOLIC (CONGESTIVE) HEART FAILURE
166|728245|M069|RHEUMATOID ARTHRITIS, UNSPECIFIED
167|719717|D72829|ELEVATED WHITE BLOOD CELL COUNT, UNSPECIFIED
168|717538|C7951|SECONDARY MALIGNANT NEOPLASM OF BONE
169|716336|Z79891|LONG TERM (CURRENT) USE OF OPIATE ANALGESIC
170|712602|E1140|TYPE 2 DIABETES MELLITUS WITH DIABETIC NEUROPATHY, UNSPECIFIED
171|712528|R9431|ABNORMAL ELECTROCARDIOGRAM [ECG] [EKG]
172|702757|Z0120|ENCOUNTER FOR DENTAL EXAMINATION AND CLEANING WITHOUT ABNORMAL FINDINGS
173|696728|F17200|NICOTINE DEPENDENCE, UNSPECIFIED, UNCOMPLICATED
174|696019|E1142|TYPE 2 DIABETES MELLITUS WITH DIABETIC POLYNEUROPATHY
175|694442|E43|UNSPECIFIED SEVERE PROTEIN-CALORIE MALNUTRITION
176|688720|M25571|PAIN IN RIGHT ANKLE AND JOINTS OF RIGHT FOOT
177|688511|E538|DEFICIENCY OF OTHER SPECIFIED B GROUP VITAMINS
178|683326|M1611|UNILATERAL PRIMARY OSTEOARTHRITIS, RIGHT HIP
179|682055|R569|UNSPECIFIED CONVULSIONS
180|681669|R350|FREQUENCY OF MICTURITION
181|681202|I2699|OTHER PULMONARY EMBOLISM WITHOUT ACUTE COR PULMONALE
182|679519|E109|TYPE 1 DIABETES MELLITUS WITHOUT COMPLICATIONS
183|678180|Z1159|ENCOUNTER FOR SCREENING FOR OTHER VIRAL DISEASES
184|677735|M79671|PAIN IN RIGHT FOOT
185|676927|I482|CHRONIC ATRIAL FIBRILLATION
186|667378|N898|OTHER SPECIFIED NONINFLAMMATORY DISORDERS OF VAGINA
187|664293|Z880|ALLERGY STATUS TO PENICILLIN
188|662302|Z6841|BODY MASS INDEX [BMI] 40.0-44.9, ADULT
189|656000|I5022|CHRONIC SYSTOLIC (CONGESTIVE) HEART FAILURE
190|650647|R1032|LEFT LOWER QUADRANT PAIN
191|641509|Z03818|ENCOUNTER FOR OBSERVATION FOR SUSPECTED EXPOSURE TO OTHER BIOLOGICAL AGENTS RULED OUT
192|640058|N201|CALCULUS OF URETER
193|639508|I739|PERIPHERAL VASCULAR DISEASE, UNSPECIFIED
194|637040|H2513|AGE-RELATED NUCLEAR CATARACT, BILATERAL
195|636008|I471|SUPRAVENTRICULAR TACHYCARDIA
196|635737|L03116|CELLULITIS OF LEFT LOWER LIMB
197|632356|R2681|UNSTEADINESS ON FEET
198|631823|E780|PURE HYPERCHOLESTEROLEMIA
199|630768|G894|CHRONIC PAIN SYNDROME
200|627467|F4310|POST-TRAUMATIC STRESS DISORDER, UNSPECIFIED
201|624457|R5381|OTHER MALAISE
202|622177|R928|OTHER ABNORMAL AND INCONCLUSIVE FINDINGS ON DIAGNOSTIC IMAGING OF BREAST
203|621487|N920|EXCESSIVE AND FREQUENT MENSTRUATION WITH REGULAR CYCLE
204|621423|R319|HEMATURIA, UNSPECIFIED
205|618280|Z4789|ENCOUNTER FOR OTHER ORTHOPEDIC AFTERCARE
206|616949|M25572|PAIN IN LEFT ANKLE AND JOINTS OF LEFT FOOT
207|616080|Z98890|OTHER SPECIFIED POSTPROCEDURAL STATES
208|615110|N132|HYDRONEPHROSIS WITH RENAL AND URETERAL CALCULOUS OBSTRUCTION
209|612350|E1065|TYPE 1 DIABETES MELLITUS WITH HYPERGLYCEMIA
210|610438|S0990XA|UNSPECIFIED INJURY OF HEAD, INITIAL ENCOUNTER
211|610348|J690|PNEUMONITIS DUE TO INHALATION OF FOOD AND VOMIT
212|609935|N189|CHRONIC KIDNEY DISEASE, UNSPECIFIED
213|609309|N3000|ACUTE CYSTITIS WITHOUT HEMATURIA
214|609088|J40|BRONCHITIS, NOT SPECIFIED AS ACUTE OR CHRONIC
215|608714|F319|BIPOLAR DISORDER, UNSPECIFIED
216|602880|Z5112|ENCOUNTER FOR ANTINEOPLASTIC IMMUNOTHERAPY
217|601990|I959|HYPOTENSION, UNSPECIFIED
218|601845|L03115|CELLULITIS OF RIGHT LOWER LIMB
219|600830|Z125|ENCOUNTER FOR SCREENING FOR MALIGNANT NEOPLASM OF PROSTATE
220|595782|Z794|LONG TERM (CURRENT) USE OF INSULIN
221|595156|R600|LOCALIZED EDEMA
222|593796|D225|MELANOCYTIC NEVI OF TRUNK
223|584867|R0902|HYPOXEMIA
224|583206|J9811|ATELECTASIS
225|579239|F341|DYSTHYMIC DISORDER
226|578591|J45901|UNSPECIFIED ASTHMA WITH (ACUTE) EXACERBATION
227|575449|Z5189|ENCOUNTER FOR OTHER SPECIFIED AFTERCARE
228|574610|G629|POLYNEUROPATHY, UNSPECIFIED
229|572397|N926|IRREGULAR MENSTRUATION, UNSPECIFIED
230|571990|Z0189|ENCOUNTER FOR OTHER SPECIFIED SPECIAL EXAMINATIONS
231|570606|J329|CHRONIC SINUSITIS, UNSPECIFIED
232|569070|R001|BRADYCARDIA, UNSPECIFIED
233|569020|K922|GASTROINTESTINAL HEMORRHAGE, UNSPECIFIED
234|567022|Z01411|ENCOUNTER FOR GYNECOLOGICAL EXAMINATION (GENERAL) (ROUTINE) WITH ABNORMAL FINDINGS
235|566474|C50919|MALIGNANT NEOPLASM OF UNSPECIFIED SITE OF UNSPECIFIED FEMALE BREAST
236|563638|M1612|UNILATERAL PRIMARY OSTEOARTHRITIS, LEFT HIP
237|562183|M79672|PAIN IN LEFT FOOT
238|561303|M5126|OTHER INTERVERTEBRAL DISC DISPLACEMENT, LUMBAR REGION
239|560398|F902|ATTENTION-DEFICIT HYPERACTIVITY DISORDER, COMBINED TYPE
240|560167|D500|IRON DEFICIENCY ANEMIA SECONDARY TO BLOOD LOSS (CHRONIC)
241|558292|G40909|EPILEPSY, UNSPECIFIED, NOT INTRACTABLE, WITHOUT STATUS EPILEPTICUS
242|555694|R339|RETENTION OF URINE, UNSPECIFIED
243|555537|G9340|ENCEPHALOPATHY, UNSPECIFIED
244|554505|Z3A39|39 WEEKS GESTATION OF PREGNANCY
245|553840|I350|NONRHEUMATIC AORTIC (VALVE) STENOSIS
246|546860|C50912|MALIGNANT NEOPLASM OF UNSPECIFIED SITE OF LEFT FEMALE BREAST
247|545129|R269|UNSPECIFIED ABNORMALITIES OF GAIT AND MOBILITY
248|542649|R739|HYPERGLYCEMIA, UNSPECIFIED
249|540646|C50911|MALIGNANT NEOPLASM OF UNSPECIFIED SITE OF RIGHT FEMALE BREAST
250|540591|D259|LEIOMYOMA OF UTERUS, UNSPECIFIED
251|538275|M5116|INTERVERTEBRAL DISC DISORDERS WITH RADICULOPATHY, LUMBAR REGION
252|537729|M109|GOUT, UNSPECIFIED
253|537531|Z86010|PERSONAL HISTORY OF COLONIC POLYPS
254|535091|I5023|ACUTE ON CHRONIC SYSTOLIC (CONGESTIVE) HEART FAILURE
255|534996|K5730|DIVERTICULOSIS OF LARGE INTESTINE WITHOUT PERFORATION OR ABSCESS WITHOUT BLEEDING
256|534730|K760|FATTY (CHANGE OF) LIVER, NOT ELSEWHERE CLASSIFIED
257|533055|Z01810|ENCOUNTER FOR PREPROCEDURAL CARDIOVASCULAR EXAMINATION
258|532724|I429|CARDIOMYOPATHY, UNSPECIFIED
259|532284|Z13220|ENCOUNTER FOR SCREENING FOR LIPOID DISORDERS
260|530354|Z853|PERSONAL HISTORY OF MALIGNANT NEOPLASM OF BREAST
261|528051|K449|DIAPHRAGMATIC HERNIA WITHOUT OBSTRUCTION OR GANGRENE
262|527390|C3490|MALIGNANT NEOPLASM OF UNSPECIFIED PART OF UNSPECIFIED BRONCHUS OR LUNG
263|527103|I25110|ATHEROSCLEROTIC HEART DISEASE OF NATIVE CORONARY ARTERY WITH UNSTABLE ANGINA PECTORIS
264|525163|K2970|GASTRITIS, UNSPECIFIED, WITHOUT BLEEDING
265|524688|M0579|RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF MULTIPLE SITES WITHOUT ORGAN OR SYSTEMS INVOLVEMENT
266|520945|E11621|TYPE 2 DIABETES MELLITUS WITH FOOT ULCER
267|520592|I252|OLD MYOCARDIAL INFARCTION
268|517977|G4700|INSOMNIA, UNSPECIFIED
269|515259|C787|SECONDARY MALIGNANT NEOPLASM OF LIVER AND INTRAHEPATIC BILE DUCT
270|512250|N939|ABNORMAL UTERINE AND VAGINAL BLEEDING, UNSPECIFIED
271|512210|R6521|SEVERE SEPSIS WITH SEPTIC SHOCK
272|510094|J440|CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH (ACUTE) LOWER RESPIRATORY INFECTION
273|507222|M47812|SPONDYLOSIS WITHOUT MYELOPATHY OR RADICULOPATHY, CERVICAL REGION
274|504922|M797|FIBROMYALGIA
275|502020|B20|HUMAN IMMUNODEFICIENCY VIRUS [HIV] DISEASE
276|498939|K3580|UNSPECIFIED ACUTE APPENDICITIS
277|498499|R1312|DYSPHAGIA, OROPHARYNGEAL PHASE
278|496490|L309|DERMATITIS, UNSPECIFIED
279|496379|R1110|VOMITING, UNSPECIFIED
280|496342|R202|PARESTHESIA OF SKIN
281|495589|M4806|SPINAL STENOSIS, LUMBAR REGION
282|495165|G459|TRANSIENT CEREBRAL ISCHEMIC ATTACK, UNSPECIFIED
283|495149|I120|HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 5 CHRONIC KIDNEY DISEASE OR END STAGE RENAL DISEASE
284|492781|J0100|ACUTE MAXILLARY SINUSITIS, UNSPECIFIED
285|492710|R1030|LOWER ABDOMINAL PAIN, UNSPECIFIED
286|491020|M5441|LUMBAGO WITH SCIATICA, RIGHT SIDE
287|488661|N170|ACUTE KIDNEY FAILURE WITH TUBULAR NECROSIS
288|487320|R7309|OTHER ABNORMAL GLUCOSE
289|486793|R9720|ELEVATED PROSTATE SPECIFIC ANTIGEN [PSA]
290|483937|C20|MALIGNANT NEOPLASM OF RECTUM
291|482742|H40013|OPEN ANGLE WITH BORDERLINE FINDINGS, LOW RISK, BILATERAL
292|481492|Z66|DO NOT RESUSCITATE
293|481427|E1169|TYPE 2 DIABETES MELLITUS WITH OTHER SPECIFIED COMPLICATION
294|480001|Z940|KIDNEY TRANSPLANT STATUS
295|478814|F4322|ADJUSTMENT DISORDER WITH ANXIETY
296|478727|M791|MYALGIA
297|478644|Z131|ENCOUNTER FOR SCREENING FOR DIABETES MELLITUS
298|477930|F900|ATTENTION-DEFICIT HYPERACTIVITY DISORDER, PREDOMINANTLY INATTENTIVE TYPE
299|477810|K8020|CALCULUS OF GALLBLADDER WITHOUT CHOLECYSTITIS WITHOUT OBSTRUCTION
300|476502|I4892|UNSPECIFIED ATRIAL FLUTTER
301|476139|E041|NONTOXIC SINGLE THYROID NODULE
302|475888|M4802|SPINAL STENOSIS, CERVICAL REGION
303|474755|R748|ABNORMAL LEVELS OF OTHER SERUM ENZYMES
304|474744|C50412|MALIGNANT NEOPLASM OF UPPER-OUTER QUADRANT OF LEFT FEMALE BREAST
305|472900|R030|ELEVATED BLOOD-PRESSURE READING, WITHOUT DIAGNOSIS OF HYPERTENSION
306|472643|H903|SENSORINEURAL HEARING LOSS, BILATERAL
307|467831|F909|ATTENTION-DEFICIT HYPERACTIVITY DISORDER, UNSPECIFIED TYPE
308|465685|K921|MELENA
309|462888|Z8249|FAMILY HISTORY OF ISCHEMIC HEART DISEASE AND OTHER DISEASES OF THE CIRCULATORY SYSTEM
310|462343|M5442|LUMBAGO WITH SCIATICA, LEFT SIDE
311|460248|G4730|SLEEP APNEA, UNSPECIFIED
312|459839|R7303|PREDIABETES
313|458807|G8918|OTHER ACUTE POSTPROCEDURAL PAIN
314|458608|J101|INFLUENZA DUE TO OTHER IDENTIFIED INFLUENZA VIRUS WITH OTHER RESPIRATORY MANIFESTATIONS
315|458593|K625|HEMORRHAGE OF ANUS AND RECTUM
316|458309|C50411|MALIGNANT NEOPLASM OF UPPER-OUTER QUADRANT OF RIGHT FEMALE BREAST
317|455781|M7989|OTHER SPECIFIED SOFT TISSUE DISORDERS
318|452328|Z7984|LONG TERM (CURRENT) USE OF ORAL HYPOGLYCEMIC DRUGS
319|451466|C189|MALIGNANT NEOPLASM OF COLON, UNSPECIFIED
320|451052|Z09|ENCOUNTER FOR FOLLOW-UP EXAMINATION AFTER COMPLETED TREATMENT FOR CONDITIONS OTHER THAN MALIGNANT NEOPLASM
321|450558|Z008|ENCOUNTER FOR OTHER GENERAL EXAMINATION
322|450053|F418|OTHER SPECIFIED ANXIETY DISORDERS
323|448618|I472|VENTRICULAR TACHYCARDIA
324|447886|Z3481|ENCOUNTER FOR SUPERVISION OF OTHER NORMAL PREGNANCY, FIRST TRIMESTER
325|446771|K4090|UNILATERAL INGUINAL HERNIA, WITHOUT OBSTRUCTION OR GANGRENE, NOT SPECIFIED AS RECURRENT
326|446124|R7301|IMPAIRED FASTING GLUCOSE
327|445482|J111|INFLUENZA DUE TO UNIDENTIFIED INFLUENZA VIRUS WITH OTHER RESPIRATORY MANIFESTATIONS
328|441124|Z8673|PERSONAL HISTORY OF TRANSIENT ISCHEMIC ATTACK (TIA), AND CEREBRAL INFARCTION WITHOUT RESIDUAL DEFICITS
329|439132|M48061|SPINAL STENOSIS, LUMBAR REGION WITHOUT NEUROGENIC CLAUDICATION
330|439096|E118|TYPE 2 DIABETES MELLITUS WITH UNSPECIFIED COMPLICATIONS
331|438095|Z36|ENCOUNTER FOR ANTENATAL SCREENING OF MOTHER
332|437523|G309|ALZHEIMER'S DISEASE, UNSPECIFIED
333|437050|H2511|AGE-RELATED NUCLEAR CATARACT, RIGHT EYE
334|431953|K8010|CALCULUS OF GALLBLADDER WITH CHRONIC CHOLECYSTITIS WITHOUT OBSTRUCTION
335|431580|Z9049|ACQUIRED ABSENCE OF OTHER SPECIFIED PARTS OF DIGESTIVE TRACT
336|429382|H2512|AGE-RELATED NUCLEAR CATARACT, LEFT EYE
337|429057|I340|NONRHEUMATIC MITRAL (VALVE) INSUFFICIENCY
338|429044|E042|NONTOXIC MULTINODULAR GOITER
339|428951|R634|ABNORMAL WEIGHT LOSS
340|424186|Z9181|HISTORY OF FALLING
341|421606|M9904|SEGMENTAL AND SOMATIC DYSFUNCTION OF SACRAL REGION
342|421455|M5417|RADICULOPATHY, LUMBOSACRAL REGION
343|419279|Z452|ENCOUNTER FOR ADJUSTMENT AND MANAGEMENT OF VASCULAR ACCESS DEVICE
344|418106|J9600|ACUTE RESPIRATORY FAILURE, UNSPECIFIED WHETHER WITH HYPOXIA OR HYPERCAPNIA
345|418068|N951|MENOPAUSAL AND FEMALE CLIMACTERIC STATES
346|416937|Z96651|PRESENCE OF RIGHT ARTIFICIAL KNEE JOINT
347|413867|Z3801|SINGLE LIVEBORN INFANT, DELIVERED BY CESAREAN
348|413555|Z0100|ENCOUNTER FOR EXAMINATION OF EYES AND VISION WITHOUT ABNORMAL FINDINGS
349|407094|N63|UNSPECIFIED LUMP IN BREAST
350|402877|Z139|ENCOUNTER FOR SCREENING, UNSPECIFIED
351|402064|R188|OTHER ASCITES
352|401318|R072|PRECORDIAL PAIN
353|401072|R911|SOLITARY PULMONARY NODULE
354|396636|E038|OTHER SPECIFIED HYPOTHYROIDISM
355|394681|R200|ANESTHESIA OF SKIN
356|393661|K5090|CROHN'S DISEASE, UNSPECIFIED, WITHOUT COMPLICATIONS
357|391698|E063|AUTOIMMUNE THYROIDITIS
358|391062|H04123|DRY EYE SYNDROME OF BILATERAL LACRIMAL GLANDS
