E063,22750
M546,22478
F418,22451
N946,22408
M2550,22258
R339,22254
V571,22242
M5412,22236
F1290,22197
F339,22191
E875,22187
F332,22024
I248,21969
N858,21955
K661,21891
C3411,21803
R928,21786
Z885,21784
M4316,21779
Z951,21739
R634,21711
R21,21652
I5030,21646
P002,21550
Z452,21496
C9100,21366
K7460,21329
M4806,21311
N83201,21252
Z171,21183
N838,21162
C187,21145
M5116,21107
C541,21000
Z3A38,20994
F331,20973
E1110,20921
J810,20852
Z1231,20772
D638,20744
M329,20710
V762,20638
I739,20559
F0280,20531
Z01810,20528
I161,20459
M797,20433
K828,20423
I420,20397
J9690,20273
K766,20263
K8510,20263
Z124,20247
E538,20234
N6489,20231
L89153,20171
R9439,20121
Z882,20104
G9349,20072
F1320,20039
N401,19978
F840,19974
C770,19881
Z8249,19878
D124,19875
Z8673,19853
Z955,19848
E109,19732
J9610,19472
Z681,19467
I428,19379
I119,19350
K210,19325
J342,19251
R7303,19181
I81,19172
K644,19123
D251,19087
M869,19048
N393,19034
F1520,19009
Z9484,18979
I442,18914
Z3A40,18867
M109,18841
K631,18818
F4310,18771
F1210,18760
R921,18754
R1012,18738
K621,18650
B370,18524
V700,18514
R29898,18503
I469,18422
N83202,18366
P081,18364
R350,18296
K861,18271
Z9884,18028
Z86718,17986
I272,17880
Z131,17864
N12,17810
Z3800,17657
N281,17583
C9200,17580
C7989,17522
Z888,17516
I481,17496
N736,17496
N72,17449
C250,17425
I160,17423
B9562,17378
G4700,17322
I350,17291
O6014X0,17263
C9101,17216
R1311,17171
E222,17122
F10129,17114
G459,17010
E890,16938
N289,16937
Z3A37,16893
A4101,16865
E079,16772
Z981,16754
K222,16647
I4901,16628
M791,16521
E282,16329
N132,16306
I340,16242
C772,16195
N10,16185
M79605,16159
K5732,16039
Z780,15892
D6859,15752
D688,15729
E041,15644
N136,15627
R0609,15626
C3491,15620
F17290,15565
Z9889,15467
P0739,15465
R6520,15443
E11621,15436
C8330,15362
A4151,15281
Z510,15278
D693,15277
J329,15233
M7541,15192
I493,15155
K589,15128
G8250,15102
M1611,15049
R042,15047
S2242XA,14990
S2241XA,14979
R140,14959
R52,14956
V103,14925
B9789,14904
B9561,14806
E118,14775
I495,14758
Z8719,14741
N898,14709
J3489,14660
I330,14652
J849,14635
M4712,14626
M5126,14614
N3001,14592
M47816,14591
I313,14586
R740,14496
I5020,14476
S161XXA,14457
R310,14432
N201,14414
M62838,14405
O770,14401
F410,14368
E869,14343
M79604,14319
M8580,14255
K659,14216
I255,14201
O9912,14193
Z1211,14134
C8590,14117
I951,14096
C719,14086
Z944,14000
J40,13988
K920,13981
Z1151,13860
R945,13847
O9832,13815
K3184,13807
M79602,13788
R488,13778
E441,13736
Z515,13702
P221,13700
C679,13685
P0821,13677
R0781,13648
G894,13630
J156,13621
N950,13566
C3412,13538
P9683,13504
I5041,13502
F1420,13433
R7301,13411
P704,13396
E663,13372
R609,13370
M19011,13358
O4103X0,13293
E1010,13252
Z3483,13181
M419,13133
C50812,13131
I25810,13118
M4807,13066
J910,13058
K4090,13056
Z01419,13025
D65,12970
T82855A,12970
J439,12948
I517,12945
Z3A36,12933
M7910,12853
E1151,12828
S0181XA,12793
D252,12785
Z9481,12746
R338,12725
O34211,12699
Z90710,12692
E1121,12683
O26893,12653
R410,12631
R64,12555
E0590,12553
I4819,12545
C801,12544
C799,12525
I96,12519
R0981,12491
E291,12490
M48062,12482
J4520,12481
K5792,12454
L03113,12439
A4189,12427
K7689,12370
J80,12327
H538,12325
A0472,12306
Z7409,12292
Z471,12235
Z302,12148
D469,12144
M1612,12103
M7542,12102
M25571,12100
N2889,12089
I483,11976
I8511,11962
I4510,11940
Z952,11881
J309,11866
K767,11866
C159,11846
Z136,11821
M79671,11815
R7309,11811
S0101XA,11803
I447,11798
E042,11784
D176,11777
V745,11757
K3189,11748
C221,11729
N760,11713
N803,11676
G8220,11652
C771,11637
N921,11609
I872,11600
D709,11579
M79672,11556
P0718,11517
Z9981,11509
C649,11503
K6289,11491
M6250,11478
M25572,11456
C19,11429
I132,11414
L03114,11379
Z6844,11355
Z87440,11323
D6959,11313
N938,11289
O99344,11273
Q381,11263
K6389,11258
E1065,11228
E873,11186
J869,11162
K254,11161
L299,11114
C7801,11113
E1169,11093
N926,11040
E038,11012
D250,11006
S0083XA,10995
D801,10994
R5382,10989
D472,10968
Z85038,10961
K5790,10958
I25119,10933
E8352,10897
C7802,10848
Z791,10803
R1010,10800
A4102,10799
C561,10778
E781,10748
E8339,10709
M4722,10703
M19012,10657
N23,10648
C779,10630
K2270,10596
R532,10564
O714,10531
R17,10499
R072,10496
P551,10489
K209,10484
O1092,10460
I213,10457
L905,10437
Z3202,10421
R160,10394
B961,10376
D473,10371
S39012A,10310
D539,10304
D508,10301
K859,10291
I69320,10253
Z86711,10249
C50811,10246
K769,10188
O9852,10173
M4726,10164
O365930,10089
I2720,10085
P285,10059
Z3A35,10004
O9902,9987
M868X7,9976
E8351,9963
K317,9963
R062,9955
Z950,9945
Z13820,9935
V221,9926
M170,9924
C3431,9911
T451X5A,9911
J984,9890
D72819,9888
M86171,9861
I619,9808
O99354,9796
Z8616,9789
Q231,9776
K8010,9774
I890,9771
M86172,9767
A084,9762
E2740,9719
C50212,9703
I69391,9695
L089,9689
C182,9677
R1033,9639
C9002,9610
W19XXXD,9602
C562,9582
N63,9573
I341,9531
E1152,9520
Z3801,9510
R61,9493
C3492,9430
D849,9401
O99214,9390
J951,9380
I712,9379
